<solve>
</solve>
<out>
 Y(1, 3): 1
 Y(1, 4): 1
 Y(1, 18): 1
 Y(1, 20): 6.35901e-13
 Y(2, 10): 1
 Y(2, 14): 2.25851e-13
 Y(2, 20): 1
 Y(3, 2): 1
 Y(3, 7): 1
 Y(3, 13): 1.48792e-13
 Y(3, 17): 1
 Y(4, 1): 1
 Y(4, 2): 2.04017e-13
 Y(4, 3): 1
 Y(4, 10): 7.56901e-13
 Y(4, 14): 1
 Y(4, 16): 1
 Y(5, 3): 1
 Y(5, 4): 2.04017e-13
 Y(5, 14): 7.30131e-13
 Y(6, 7): 1
 Y(6, 18): 1
 Y(7, 9): 1
 Y(7, 14): 1
 Y(7, 15): 1
 Y(7, 18): 1
 Y(8, 4): 3.26448e-13
 Y(8, 14): 1
 Y(8, 18): 1
 Y(9, 5): 1.24011e-12
 Y(9, 12): 1.48503e-13
 Y(9, 16): 1
 Y(9, 17): 1.48987e-13
 Y(10, 15): 1.96695e-13
 Y(10, 18): 1
 Y(10, 19): 2.53842e-13
 Y(11, 3): 1
 Y(12, 2): 1
 Y(12, 7): 1
 Y(13, 2): 1
 Y(14, 2): 1
 Y(14, 3): 1.48792e-13
 Y(14, 9): 1.48503e-13
 Y(14, 13): 1
 Y(14, 16): 1
 Y(14, 20): 1
 Y(15, 1): 1.40066e-13
 Y(15, 2): 1
 Y(15, 7): 1
 Y(15, 14): 1
 Y(15, 18): 1
 Y(15, 20): 1
 Y(16, 3): 1
 Y(16, 4): 7.97107e-13
 Y(16, 12): 1
 Y(17, 14): 1
 Y(17, 16): 1
 Y(18, 1): 1
 Y(18, 2): 1
 Y(18, 7): 1
 Y(18, 13): 1
 Y(18, 16): 1.15852e-13
 Y(18, 20): 1
 Y(19, 1): 1
 Y(19, 12): 2.53842e-13
 Y(20, 4): 1
 Y(20, 8): 1
 Y(20, 12): 1
 X(15, 9, 16): 264
 X(15, 9, 17): 3.85718e-11
 X(15, 14, 3): 3.85754e-11
 X(15, 16, 3): 264
 X(15, 17, 14): 3.85754e-11
 X(16, 3, 13): 4.84675e-11
 X(16, 4, 10): 2.5064e-10
 X(16, 4, 14): 332
 X(16, 6, 17): 3.64881e-11
 X(16, 7, 18): 3.64881e-11
 X(16, 9, 6): 3.64881e-11
 X(16, 10, 19): 2.60986e-10
 X(16, 14, 3): 4.84675e-11
 X(16, 14, 13): 332
 X(16, 17, 7): 3.64881e-11
 X(16, 19, 13): 2.61031e-10
 X(17, 10, 14): 3.69722e-11
 X(17, 17, 14): 308
 X(18, 7, 18): 716
 X(18, 10, 15): 1.8332e-12
 X(18, 12, 7): 716
 X(18, 12, 10): 1.8332e-12
 X(18, 15, 7): 1.8332e-12
 X(19, 2, 14): 4.57155e-11
 X(19, 3, 2): 4.57155e-11
 X(19, 3, 17): 215
 X(19, 17, 14): 215
 X(20, 4, 1): 481
 X(21, 13, 2): 201
 X(22, 2, 20): 690
 X(22, 4, 3): 690
 X(22, 20, 4): 690
 X(23, 4, 2): 8.91589e-11
 X(23, 13, 4): 8.91589e-11
 X(23, 14, 2): 437
 X(23, 14, 8): 3.59021e-13
 X(23, 18, 13): 3.59021e-13
 X(24, 7, 9): 574
 X(24, 10, 9): 1.13687e-13
 X(24, 14, 10): 7.91789e-13
 X(24, 15, 7): 574
 X(25, 7, 15): 1.28944e-11
 X(25, 15, 20): 1.28944e-11
 X(25, 18, 7): 1.28944e-11
 X(25, 18, 20): 451
 X(26, 8, 18): 562
 X(27, 1, 14): 4.987e-11
 X(27, 1, 18): 700
 X(27, 6, 13): 4.77311e-11
 X(27, 7, 13): 2.4635e-11
 X(27, 9, 5): 1.41646e-13
 X(27, 9, 7): 2.52538e-11
 X(27, 10, 13): 8.64375e-12
 X(27, 12, 10): 2.14939e-12
 X(27, 14, 13): 1.01408e-11
 X(27, 16, 10): 6.45456e-12
 X(27, 18, 13): 700
 X(28, 2, 10): 301
 X(29, 3, 7): 394
 X(29, 3, 9): 4.83044e-11
 X(29, 7, 18): 394
 X(30, 3, 2): 548
 X(30, 4, 2): 1.11771e-10
 X(30, 10, 4): 1.11783e-10
 X(30, 16, 3): 548
 X(30, 16, 10): 1.11783e-10
 X(31, 1, 20): 1.69794e-10
 X(31, 15, 1): 1.69794e-10
 X(31, 15, 20): 267
 X(32, 4, 2): 6.63212e-11
 X(32, 5, 4): 6.63212e-11
 X(32, 10, 13): 3.99325e-12
 X(32, 10, 15): 6.63212e-11
 X(32, 10, 18): 325
 X(32, 13, 2): 3.99325e-12
 X(32, 15, 5): 6.63212e-11
 X(32, 18, 2): 325
 X(33, 5, 1): 1.11665e-11
 X(33, 6, 14): 8.77953e-12
 X(33, 6, 18): 333
 X(33, 14, 5): 1.12234e-11
 X(33, 15, 1): 4.91914e-13
 X(33, 18, 1): 333
 X(34, 4, 14): 5.01298e-12
 X(34, 8, 14): 174
 X(34, 20, 4): 5.01298e-12
 X(34, 20, 8): 174
 X(35, 3, 17): 560
 X(36, 12, 2): 187
 X(37, 3, 7): 403
 X(37, 5, 3): 403
 X(37, 7, 15): 403
 X(38, 6, 7): 558
 X(38, 6, 9): 1.13687e-13
 X(38, 7, 9): 558
 X(39, 11, 3): 729
 X(40, 1, 18): 5.43506e-11
 X(40, 15, 1): 5.43506e-11
 X(40, 15, 18): 286
 TotalCost: 570178
</out>
<time>9601330</time>
